d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ESRI,2021-2022,466260.32,402514.68
EXCEL HUMAN RESOURCES,2017-2018,1119741.69,1148405.93
EXCEL HUMAN RESOURCES,2018-2019,2232811.70,2264961.36
EXCEL HUMAN RESOURCES,2019-2020,4032236.18,4005495.17
EXCEL HUMAN RESOURCES,2020-2021,2843386.37,2703123.57
EXCEL HUMAN RESOURCES,2021-2022,1530422.28,1348200.31
FAST FORWARD FRENCH,2019-2020,7391.89,7213.00
FAST FORWARD FRENCH,2020-2021,29687.55,28168.61
FAST TRACK STAFFING,2019-2020,224632.41,224297.95
FELIX TECHNOLOGY,2018-2019,212544.51,214783.93
FELIX TECHNOLOGY,2019-2020,318852.71,317824.94
FELIX TECHNOLOGY,2020-2021,25086.97,23820.48
FELIX TECHNOLOGY,2021-2022,49945.03,39070.23
FREEBALANCE,2017-2018,49542.48,50775.62
FREEBALANCE,2018-2019,108706.06,110393.54
FREEBALANCE,2019-2020,127307.89,126229.91
FREEBALANCE,2020-2021,120065.38,114121.52
FREEBALANCE,2021-2022,79661.24,74619.24
FUJITSU,2017-2018,1237857.38,1269934.31
FUJITSU,2018-2019,1237857.38,1257107.89
FUJITSU,2019-2020,1277810.83,1267271.30
FUJITSU,2020-2021,464812.43,439481.27
FUJITSU,2021-2022,937307.70,879237.60
GARTNER,2017-2018,689223.98,706245.81
GARTNER,2018-2019,649958.36,660386.96
GARTNER,2019-2020,684916.56,681210.36
GARTNER,2020-2021,437863.79,415789.20
GARTNER,2021-2022,354089.55,312267.99
GC STRATEGIES,2021-2022,23799.86,17383.11
GENESIS INTEGRATION,2017-2018,58833.82,60220.66
GENESIS INTEGRATION,2018-2019,13146.92,13358.84
GILMORE REPRODUCTIONS,2017-2018,9714.96,9943.97
GILMORE REPRODUCTIONS,2018-2019,207623.94,210522.99
GILMORE REPRODUCTIONS,2019-2020,353391.73,351037.33
GILMORE REPRODUCTIONS,2020-2021,660470.90,625487.65
GILMORE REPRODUCTIONS,2021-2022,367447.73,296964.49
GLOBAL UPHOLSTERY,2019-2020,51942.73,51850.88
GROUPE ONSCOPE,2019-2020,28743.75,28692.92
GROUPE ONSCOPE,2020-2021,117462.44,111538.29
GROUPE ONSCOPE,2021-2022,141231.31,110480.26
HEWLETT PACKARD,2017-2018,13803.66,14145.54
HEWLETT PACKARD,2018-2019,29012.00,29421.83
HEWLETT PACKARD,2019-2020,46173.99,45784.32
HEWLETT PACKARD,2020-2021,46047.83,43776.30
HEWLETT PACKARD,2021-2022,26997.90,25370.22
HOOTSUITE MEDIA,2017-2018,30075.85,30855.22
HOOTSUITE MEDIA,2018-2019,30075.85,30543.58
HOOTSUITE MEDIA,2019-2020,16666.24,16531.56
HOOTSUITE MEDIA,2020-2021,16125.19,15329.74
HOOTSUITE MEDIA,2021-2022,16125.19,12614.17
HYPERTEC,2019-2020,40821.88,40796.74
HYPERTEC,2021-2022,23684.85,22274.68
IBISKA TELECOM,2019-2020,2107866.84,2102439.52
IBISKA TELECOM,2020-2021,223438.83,212416.66
IBISKA TELECOM,2021-2022,223438.83,174788.29
IBM CANADA,2017-2018,11542193.27,11838177.43
IBM CANADA,2018-2019,25872610.44,26274843.73
IBM CANADA,2019-2020,25982559.43,25764008.71
IBM CANADA,2020-2021,25680369.77,24413652.19
IBM CANADA,2021-2022,25434686.42,19901420.88
INFO TECH RESEARCH GROUP,2017-2018,72000.27,73866.04
INFO TECH RESEARCH GROUP,2018-2019,79238.94,80463.56
INFO TECH RESEARCH GROUP,2019-2020,13671.00,13719.61
INSA,2017-2018,34415.51,35284.35
INSA,2018-2019,211203.95,214843.18
INSA,2019-2020,58737.06,58599.91
INSA,2020-2021,115982.89,110014.04
INSA,2021-2022,61933.92,58384.77
IPSS,2017-2018,9505.06,9750.06
IPSS,2018-2019,18929.29,19190.97
IPSS,2019-2020,23550.78,23352.03
IPSS,2020-2021,29078.60,27605.65
IPSS,2021-2022,37333.71,31351.86
IRON MOUNTAIN,2020-2021,14946.75,14209.43
IT NET CONSULTANTS,2017-2018,327073.79,335060.49
IT NET CONSULTANTS,2018-2019,901470.87,915490.08
IT NET CONSULTANTS,2019-2020,345779.28,343567.75
LEO PISCES SERVICES GROUP,2017-2018,374690.63,384083.49
LEO PISCES SERVICES GROUP,2018-2019,432358.09,439173.93
LEO PISCES SERVICES GROUP,2019-2020,259486.86,257297.05
LEO PISCES SERVICES GROUP,2020-2021,258777.87,246012.44
LEO PISCES SERVICES GROUP,2021-2022,258777.87,202432.78
LIKE 10,2017-2018,156880.11,160578.10
LIKE 10,2018-2019,1396615.62,1418335.06
LIKE 10,2019-2020,1400441.97,1388623.67
LIKE 10,2021-2022,12051.79,8927.23
LINOVATI,2017-2018,131503.51,134692.61
LINOVATI,2018-2019,88800.11,90423.61
LOWE MARTIN COMPANY,2017-2018,489437.55,501732.28
LOWE MARTIN COMPANY,2018-2019,778762.92,790506.64
LOWE MARTIN COMPANY,2019-2020,1061930.59,1053404.15
LOWE MARTIN COMPANY,2020-2021,1029782.98,974691.76
LOWE MARTIN COMPANY,2021-2022,325096.79,296746.23
LUMINA IT,2017-2018,140324.10,143776.43
LUMINA IT,2018-2019,1155786.76,1173374.83
LUMINA IT,2019-2020,1254002.52,1243972.90
LUMINA IT,2020-2021,360754.34,342744.72
LUMINA IT,2021-2022,63689.34,49821.91
MAKWA RESOURCING,2019-2020,826778.05,821292.03
MAKWA RESOURCING,2020-2021,771054.73,732995.87
MAKWA RESOURCING,2021-2022,657440.97,613453.85
MAPLESOFT CONSULTING,2018-2019,20437.88,20652.50
MAPLESOFT CONSULTING,2019-2020,20953.12,20999.28
MAXIMUS CANADA,2018-2019,464578.50,469149.49
MAXIMUS CANADA,2019-2020,12712130.96,12604853.60
MAXIMUS CANADA,2020-2021,7378299.85,7014330.41
MAXIMUS CANADA,2021-2022,1687033.77,1319706.84
MAXSYS STAFFING AND CONSULTING,2017-2018,333983.29,342616.22
MAXSYS STAFFING AND CONSULTING,2018-2019,334875.34,340145.73
MAXSYS STAFFING AND CONSULTING,2019-2020,325617.96,322870.08
MAXSYS STAFFING AND CONSULTING,2020-2021,54269.66,51229.47
MEDIA Q,2017-2018,13797.00,14154.53
MEDIA Q,2018-2019,8148.36,8258.39
MEDIA Q,2019-2020,8178.10,8151.74
MEDIA Q,2020-2021,14746.51,14019.07
MEDIA Q,2021-2022,7658.01,5990.59
MICHAEL WAGER CONSULTING,2018-2019,397062.94,400969.64
MICROSOFT CANADA,2017-2018,1254583.95,1287094.32
MICROSOFT CANADA,2018-2019,1371341.06,1392667.44
MICROSOFT CANADA,2019-2020,2942297.80,2919445.77
MICROSOFT CANADA,2020-2021,1921461.03,1826675.90
MICROSOFT CANADA,2021-2022,1999220.93,1563919.81
MINDWIRE SYSTEMS,2017-2018,36167.51,37020.05
MINDWIRE SYSTEMS,2018-2019,312963.14,317401.99
MINDWIRE SYSTEMS,2019-2020,486417.51,482312.65
MINDWIRE SYSTEMS,2020-2021,227605.89,216378.15
MODIS CANADA,2017-2018,1143392.83,1173021.88
MODIS CANADA,2018-2019,24671.11,25206.96
MODIS CANADA,2019-2020,24205.35,23977.03
MODIS CANADA,2020-2021,26138.91,24849.48
MODIS CANADA,2021-2022,26138.91,20447.54
MOORE CANADA,2019-2020,241842.60,240955.04
MORNEAU SHEPELL,2017-2018,48532.56,49790.19
MORNEAU SHEPELL,2018-2019,28454.70,28989.87
"NATTIQ",2018-2019,20296.21,20495.90
"NAVPOINT CONSULTING GROUP",2017-2018,240087.53,246308.98
"NAVPOINT CONSULTING GROUP",2018-2019,240087.53,243821.25
"NAVPOINT CONSULTING GROUP",2019-2020,145831.04,145423.32
NITAM SOLUTIONS,2018-2019,18252.28,18454.41
NORTHERN MICRO,2017-2018,257939.98,264606.88
NORTHERN MICRO,2018-2019,909195.56,921506.06
NORTHERN MICRO,2019-2020,102194.23,101870.41
NORTHERN MICRO,2020-2021,2175145.55,2071601.20
NORTHERN MICRO,2021-2022,1278433.60,1190613.50
NOVA NETWORKS,2017-2018,16533.78,16969.69
OPENFRAME TECHNOLOGIES,2017-2018,167420.49,171758.91
OPENFRAME TECHNOLOGIES,2018-2019,283775.19,287851.82
OPENFRAME TECHNOLOGIES,2019-2020,167879.18,166462.45
OPROMA,2017-2018,873.23,893.81
OPROMA,2018-2019,10624.27,10789.50
ORACLE CANADA,2017-2018,880512.74,903329.71
ORACLE CANADA,2018-2019,938634.76,952947.79
ORACLE CANADA,2019-2020,1059979.31,1051665.07
ORACLE CANADA,2020-2021,3333245.85,3173110.58
ORACLE CANADA,2021-2022,1286581.64,1214450.65
ORANGUTECH,2017-2018,620925.93,636482.40
ORANGUTECH,2018-2019,1003068.66,1018481.30
ORANGUTECH,2019-2020,140110.83,139669.62
ORANGUTECH,2020-2021,96966.05,92138.04
ORANGUTECH,2021-2022,64850.63,61089.60
PITNEY BOWES,2017-2018,12062.92,12375.51
PITNEY BOWES,2018-2019,2860.27,2903.65
PITNEY BOWES,2019-2020,6829.58,6771.94
PITNEY BOWES,2020-2021,45135.11,42769.87
PITNEY BOWES,2021-2022,4143.64,3241.42
PLEIAD CANADA,2017-2018,58479.39,59883.60
PLEIAD CANADA,2018-2019,31120.61,31796.53
POSTMEDIA NETWORK,2017-2018,6936.93,7102.10
POSTMEDIA NETWORK,2018-2019,20973.09,21299.02
POSTMEDIA NETWORK,2019-2020,21577.13,21389.41
POSTMEDIA NETWORK,2020-2021,22436.56,21329.66
POSTMEDIA NETWORK,2021-2022,15026.13,14095.20
PRICEWATERHOUSE COOPERS,2017-2018,291084.49,298627.44
PRICEWATERHOUSE COOPERS,2018-2019,291084.49,295611.28
PRICEWATERHOUSE COOPERS,2019-2020,291881.98,289418.79
PRICEWATERHOUSE COOPERS,2020-2021,291084.49,276725.37
PROCOM CONSULTANTS,2017-2018,498761.91,511686.46
PROCOM CONSULTANTS,2018-2019,922363.92,936766.51
PROCOM CONSULTANTS,2019-2020,694308.89,688449.64
PROCOM CONSULTANTS,2020-2021,279766.59,265965.79
PROMAXIS,2017-2018,252331.72,258869.58
PROMAXIS,2018-2019,73584.65,75017.26
PROMAXIS,2019-2020,16211.48,16074.67
PROSCI CANADA,2019-2020,33542.81,33259.74
PROTAK CONSULTING GROUP,2017-2018,463961.92,476195.11
PROTAK CONSULTING GROUP,2018-2019,261041.12,265255.42
PROTAK CONSULTING GROUP,2019-2020,285609.67,282832.89
PROTAK CONSULTING GROUP,2020-2021,129842.80,123658.60
PROTAK CONSULTING GROUP,2021-2022,81653.72,76918.20
PURELOGIC,2017-2018,18260.83,18719.07
PURELOGIC,2018-2019,23478.74,23871.60
PURELOGIC,2019-2020,6449.27,6454.94
PURELOGIC,2021-2022,13851.52,10669.24
QMR,2017-2018,155109.56,159128.96
QMR,2018-2019,68040.17,69098.30
QMR,2019-2020,101048.35,99872.45
QMR,2020-2021,92924.50,88288.88
QMR,2021-2022,56282.14,53130.22
QUANTUM MANAGEMENT SERVICES,2017-2018,93375.96,95766.57
QUANTUM MANAGEMENT SERVICES,2019-2020,385427.21,382505.11
QUANTUM MANAGEMENT SERVICES,2020-2021,264442.50,250985.99
QUANTUM MANAGEMENT SERVICES,2021-2022,0.00,0.00
QUINTET CONSULTING,2019-2020,108345.43,106769.51
QUINTET CONSULTING,2020-2021,27914.32,26350.56
R E GILMORE INVESTMENTS,2020-2021,153950.42,146142.38
R E GILMORE INVESTMENTS,2021-2022,308746.72,241521.64
RANDSTAD,2018-2019,465057.80,470730.56
RANDSTAD,2019-2020,602469.32,599605.26
RANDSTAD,2020-2021,358165.45,340497.25
RANDSTAD,2021-2022,179573.36,169158.97
RAYMOND CHABOT GRANT THORNTON,2018-2019,2246888.16,2281830.59
RAYMOND CHABOT GRANT THORNTON,2019-2020,2253044.02,2234030.63
RAYMOND CHABOT GRANT THORNTON,2020-2021,1639403.89,1558306.19
RAYMOND CHABOT GRANT THORNTON,2021-2022,1614396.83,1262885.53
RHEA,2017-2018,64735.52,66515.82
RHEA,2018-2019,14072.94,14220.72
RHEA,2019-2020,68249.16,67802.29
ROGERS,2017-2018,190683.52,195624.76
ROGERS,2018-2019,188891.94,191835.53
ROGERS,2019-2020,188112.92,186525.44
ROGERS,2020-2021,187598.95,178344.75
ROGERS,2021-2022,78637.37,74131.02
SAMSON AND ASSOCIATES,2017-2018,350456.01,358933.35
SAMSON AND ASSOCIATES,2018-2019,590244.24,600153.48
SAMSON AND ASSOCIATES,2019-2020,538258.35,535374.88
SAMSON AND ASSOCIATES,2020-2021,170083.01,162044.18
SAP,2017-2018,27912.54,28581.07
SAP,2018-2019,43917.60,44604.16
SAP,2019-2020,51255.54,50864.17
SAP,2020-2021,45708.65,43453.72
SAP,2021-2022,26713.57,25104.73
SAS INSTITUTE,2017-2018,384347.33,394250.38
SAS INSTITUTE,2018-2019,543788.40,552177.18
SAS INSTITUTE,2019-2020,423426.84,420373.35
SAS INSTITUTE,2020-2021,93465.06,88229.14
SDL INTERNATIONAL CANADA,2018-2019,5634.39,5697.57
SDL INTERNATIONAL CANADA,2019-2020,17034.08,17014.20
SDL INTERNATIONAL CANADA,2020-2021,5745.94,5454.52
SDL INTERNATIONAL CANADA,2021-2022,5777.52,5442.45
SI SYSTEMS,2017-2018,198892.35,203754.68
SI SYSTEMS,2018-2019,855701.68,869000.53
SI SYSTEMS,2019-2020,1604330.06,1569954.53
SI SYSTEMS,2020-2021,4087884.06,3898252.20
SIERRA SYSTEMS GROUP,2017-2018,30149.51,30930.78
SIERRA SYSTEMS GROUP,2018-2019,30947.67,31428.75
SIERRA SYSTEMS GROUP,2019-2020,31349.67,31081.79
SIERRA SYSTEMS GROUP,2020-2021,32363.11,30762.44
SIERRA SYSTEMS GROUP,2021-2022,25453.07,23842.07
SIMPLEX GRINNELL,2019-2020,48743.65,47660.79
SIMPLEX GRINNELL,2020-2021,163436.25,155725.69
SIMPLEX GRINNELL,2021-2022,8453.10,7992.92
SOFTCHOICE,2017-2018,183046.76,187551.13
SOFTCHOICE,2018-2019,478486.02,485791.48
SOFTCHOICE,2019-2020,266948.21,266127.65
SOFTCHOICE,2020-2021,113134.01,107417.97
SOFTCHOICE,2021-2022,36289.66,34195.41
SOLOTECH,2019-2020,10304.06,10285.84
ST JOSEPH PRINT GROUP,2017-2018,625588.98,641800.03
ST JOSEPH PRINT GROUP,2018-2019,633060.26,642862.61
ST JOSEPH PRINT GROUP,2019-2020,807545.13,800609.04
ST JOSEPH PRINT GROUP,2020-2021,1003680.93,954591.50
ST JOSEPH PRINT GROUP,2021-2022,742038.71,599477.51
SUPER CHANNEL INTERNATIONAL,2018-2019,338940.78,342342.29
SUPER CHANNEL INTERNATIONAL,2019-2020,14438.89,14089.46
SUPER CHANNEL INTERNATIONAL,2020-2021,607999.01,581089.31
SUPREMEX,2018-2019,1756.62,1773.90
SUPREMEX,2019-2020,107340.83,107216.39
SUPREMEX,2020-2021,1250982.98,1187538.66
SUPREMEX,2021-2022,496412.46,388325.91
SYNERSOLUTIONS TECHNOLOGIES,2018-2019,5309.83,5385.83
SYNERSOLUTIONS TECHNOLOGIES,2019-2020,6392.75,6338.81
SYNERSOLUTIONS TECHNOLOGIES,2020-2021,6375.29,6060.80
SYNERSOLUTIONS TECHNOLOGIES,2021-2022,1065.46,1007.46
SYSTEMSCOPE,2017-2018,26282.71,26975.62
TEKNION,2017-2018,57628.17,59070.79
TEKNION,2019-2020,77699.61,76143.82
TEKNION,2020-2021,52375.30,49441.23
TEKSYSTEMS CANADA,2018-2019,105964.41,107152.53
TEKSYSTEMS CANADA,2019-2020,299550.52,299508.68
TEKSYSTEMS CANADA,2020-2021,39091.50,37181.46
TERAMACH TECHNOLOGIES,2017-2018,682471.27,699642.44
TERAMACH TECHNOLOGIES,2018-2019,346598.11,351594.83
TERAMACH TECHNOLOGIES,2019-2020,419987.89,416587.17
TERAMACH TECHNOLOGIES,2020-2021,316857.59,301158.77
TERAMACH TECHNOLOGIES,2021-2022,322295.36,256523.10
THE AIM GROUP,2017-2018,363065.26,372603.55
THE AIM GROUP,2018-2019,18347.74,18746.25
THE AIM GROUP,2020-2021,89324.91,85015.60
THE AIM GROUP,2021-2022,103833.09,81224.96
THE IT BROKER,2017-2018,490309.34,503014.86
THE RIGHT DOOR CONSULTING,2020-2021,39999.80,37823.60
TOTEM OFFISOURCE,2018-2019,35356.56,35705.87
TOTEM OFFISOURCE,2019-2020,763.39,744.92
TOTEM OFFISOURCE,2020-2021,110503.19,104520.87
TOTEM OFFISOURCE,2021-2022,10134.74,9528.51
TOYOTA,2018-2019,38446.52,38918.88
TRANSCONTINENTAL PRINTING,2017-2018,93146.45,95560.18
TRANSCONTINENTAL PRINTING,2018-2019,93146.45,94595.01
TRANSCONTINENTAL PRINTING,2019-2020,93401.64,92613.43
TRANSPOLAR TECHNOLOGY,2018-2019,4548.16,4592.91
TRANSPOLAR TECHNOLOGY,2019-2020,32948.91,32734.57
TRM TECHNOLOGIES,2017-2018,22959.19,23554.14
TRM TECHNOLOGIES,2018-2019,114247.66,115622.64
TRM TECHNOLOGIES,2019-2020,197493.04,195892.04
TUNDRA TECHNICAL SOLUTIONS,2019-2020,194754.88,192625.65
TUNDRA TECHNICAL SOLUTIONS,2020-2021,234605.71,223032.68
TUNDRA TECHNICAL SOLUTIONS,2021-2022,234605.71,183523.75
TURTLE ISLAND STAFFING,2018-2019,45792.93,46555.45
UNIVERSITY OF OTTAWA,2017-2018,14812.00,15174.91
VERITAAQ TECHNOLOGY HOUSE,2017-2018,444532.03,456033.38
VERITAAQ TECHNOLOGY HOUSE,2018-2019,484340.87,491873.09
VERITAAQ TECHNOLOGY HOUSE,2019-2020,240997.74,238963.97
VERITAAQ TECHNOLOGY HOUSE,2020-2021,196533.08,187219.15
VERITAAQ TECHNOLOGY HOUSE,2021-2022,253479.07,198287.71
WILLS TRANSFER,2017-2018,21112.20,21668.79
WORKDYNAMICS TECHNOLOGIES,2017-2018,9235.37,9474.69
WORKDYNAMICS TECHNOLOGIES,2018-2019,99501.77,100700.12
WORKDYNAMICS TECHNOLOGIES,2019-2020,48030.19,47875.38
