d_vendor_name,d_fiscal_year,total
PRICEWATERHOUSE COOPERS,2017-2018,1011951.8537278484
PRICEWATERHOUSE COOPERS,2020-2021,2023464.8807706595
PROLOGIC SYSTEMS,2017-2018,422574.94609443133
PROLOGIC SYSTEMS,2018-2019,485129.4714600423
PROLOGIC SYSTEMS,2019-2020,378595.5112684322
PROLOGIC SYSTEMS,2020-2021,241376.07886829582
PRONTO AIRWAYS,2017-2018,1922120.241173305
PROOF EXPERIENCES,2017-2018,2375915.8589959214
PROOF EXPERIENCES,2018-2019,3382862.5730873607
PROOF EXPERIENCES,2019-2020,4174983.5160738532
PROOF EXPERIENCES,2020-2021,3116344.98637414
QMR,2017-2018,1174251.517245509
QMR,2018-2019,1523989.355321191
QMR,2019-2020,736244.4753229605
QMR,2020-2021,401817.0199968473
RANDSTAD,2017-2018,116803.49957562568
RANDSTAD,2018-2019,687071.7467055552
RANDSTAD,2019-2020,892650.0552530955
RANDSTAD,2020-2021,328992.75724329357
RICOH,2017-2018,283659.1283217995
RICOH,2018-2019,421816.2686097302
RICOH,2019-2020,413883.4113825062
RICOH,2020-2021,456795.48564853094
RISK SCIENCES INTERNATIONAL,2017-2018,682991.767297507
RISK SCIENCES INTERNATIONAL,2018-2019,811092.6563677895
RISK SCIENCES INTERNATIONAL,2019-2020,553265.778918316
RISK SCIENCES INTERNATIONAL,2020-2021,409119.15684108675
SAS INSTITUTE,2017-2018,823818.0866816454
SAS INSTITUTE,2018-2019,918631.0704140641
SAS INSTITUTE,2019-2020,1086692.6366731348
SAS INSTITUTE,2020-2021,1681758.0011342508
SC2 0 STEPPED CARE SOLUTIONS,2020-2021,64771234.11528767
SI SYSTEMS,2017-2018,1317125.566425837
SI SYSTEMS,2018-2019,1526378.7299998172
SI SYSTEMS,2019-2020,1609913.408402349
SI SYSTEMS,2020-2021,897988.7016188811
SIERRA SYSTEMS GROUP,2018-2019,24860
SIERRA SYSTEMS GROUP,2019-2020,1202166.9424582103
SIERRA SYSTEMS GROUP,2020-2021,1934675.7076030117
SYSTEMATIX SOLUTIONS,2017-2018,1702882.5642304851
SYSTEMATIX SOLUTIONS,2018-2019,1433345.6990963856
SYSTEMATIX SOLUTIONS,2019-2020,1437272.673614458
SYSTEMATIX SOLUTIONS,2020-2021,686490.3584795858
TAG HR,2017-2018,124046.39394650963
TAG HR,2018-2019,490140.1007058213
TAG HR,2019-2020,731636.0712308615
TAG HR,2020-2021,320364.5011333387
TECSIS,2018-2019,222804.28911027816
TECSIS,2019-2020,2060965.4583387827
TECSIS,2020-2021,1738314.7699543564
TERAMACH TECHNOLOGIES,2017-2018,248156.86274509804
TERAMACH TECHNOLOGIES,2018-2019,999144.4589940002
TERAMACH TECHNOLOGIES,2019-2020,2338845.5635514217
TERAMACH TECHNOLOGIES,2020-2021,1005706.0053924567
THE AIM GROUP,2017-2018,1702311.0042649226
THE AIM GROUP,2018-2019,2507946.543223654
THE AIM GROUP,2019-2020,2894138.189477425
THE AIM GROUP,2020-2021,1704268.397562907
THE RIGHT DOOR CONSULTING,2017-2018,491575.791877402
THE RIGHT DOOR CONSULTING,2018-2019,463903.94169686106
THE RIGHT DOOR CONSULTING,2019-2020,470361.94446662726
THE RIGHT DOOR CONSULTING,2020-2021,289784.7034730539
THERMO FISHER SCIENTIFIC,2017-2018,2893915.6820212766
THERMO FISHER SCIENTIFIC,2018-2019,841617.4288233416
THERMO FISHER SCIENTIFIC,2019-2020,1760182.2103783085
THERMO FISHER SCIENTIFIC,2020-2021,496815.6989480151
THRIVE HEALTH,2019-2020,29907.113692762232
THRIVE HEALTH,2020-2021,5275368.926742241
TIREE,2017-2018,716654.4587154089
TIREE,2018-2019,623438.260404921
TIREE,2019-2020,314399.605586949
TOSHIBA CLIENT SOLUTIONS CANADA,2017-2018,1349952.7500000002
TOSHIBA CLIENT SOLUTIONS CANADA,2018-2019,68847.88
TRANSWEST AIR,2017-2018,3463283.5397445257
TRANSWEST AIR,2018-2019,3449710.179744526
TRANSWEST AIR,2019-2020,3166172.356751825
TURTLE ISLAND STAFFING,2017-2018,311615.5206321967
TURTLE ISLAND STAFFING,2018-2019,603242.1585639112
TURTLE ISLAND STAFFING,2019-2020,430210.04166764684
TURTLE ISLAND STAFFING,2020-2021,178892.21844447916
UNIVERSITY OF OTTAWA,2017-2018,183331.09313571636
UNIVERSITY OF OTTAWA,2018-2019,203725.45060461742
UNIVERSITY OF OTTAWA,2019-2020,529695.9176213468
UNIVERSITY OF OTTAWA,2020-2021,554229.5798739513
UNIVERSITY OF WATERLOO,2017-2018,1153080.7301812589
UNIVERSITY OF WATERLOO,2018-2019,1109995.3348757925
UNIVERSITY OF WATERLOO,2019-2020,850212.3279324508
UNIVERSITY OF WATERLOO,2020-2021,141699.20142336973
VERITAAQ TECHNOLOGY HOUSE,2018-2019,429963.503649635
VERITAAQ TECHNOLOGY HOUSE,2019-2020,578553.8321167883
VERITAAQ TECHNOLOGY HOUSE,2020-2021,2514172.316724034
VWR INTERNATIONAL,2017-2018,327094.3645592705
VWR INTERNATIONAL,2018-2019,239897.79783335538
VWR INTERNATIONAL,2019-2020,546909.1593854896
VWR INTERNATIONAL,2020-2021,211851.52450952548
WATERS,2017-2018,2147929.805107266
WATERS,2018-2019,3534183.9652736583
WATERS,2019-2020,720100.69023705
WATERS,2020-2021,2203177.211146395
WEST WIND AVIATION,2017-2018,1957835.9499999997
WEST WIND AVIATION,2018-2019,1957835.9499999997
WEST WIND AVIATION,2019-2020,1475081.880136986
XEROX,2017-2018,341985.16466931725
XEROX,2018-2019,574239.0254409272
XEROX,2019-2020,643811.0297554008
XEROX,2020-2021,644801.5159375967
