ref_date,constant_dollars_multiplier_2019
2017-01,1.0456221198156683
2017-02,1.0456221198156683
2017-03,1.0456221198156683
2017-04,1.0313636363636365
2017-05,1.0313636363636365
2017-06,1.0313636363636365
2017-07,1.0341841385597084
2017-08,1.0341841385597084
2017-09,1.0341841385597084
2017-10,1.029491833030853
2017-11,1.029491833030853
2017-12,1.029491833030853
2018-01,1.028558476881233
2018-02,1.028558476881233
2018-03,1.028558476881233
2018-04,1.0266968325791856
2018-05,1.0266968325791856
2018-06,1.0266968325791856
2018-07,1.0229936880072137
2018-08,1.0229936880072137
2018-09,1.0229936880072137
2018-10,1.0174887892376683
2018-11,1.0174887892376683
2018-12,1.0174887892376683
2019-01,1.009341637010676
2019-02,1.009341637010676
2019-03,1.009341637010676
2019-04,1.0030946065428825
2019-05,1.0030946065428825
