category,d_description_en,source
2_professional_services,0859 other business services - outreach,manual
2_professional_services,0859 other business services - photography,manual
2_professional_services,0859 other business services - physician,manual
2_professional_services,0859 other business services - printing,manual
2_professional_services,0859 other business services - public opinion research,manual
2_professional_services,0859 other business services - research,manual
2_professional_services,0859 other business services - security equipment,manual
2_professional_services,0859 other business services - security equipment and install,manual
2_professional_services,0859 other business services - technical writer,manual
2_professional_services,0859 other business services - temporary help,manual
2_professional_services,0859 other business services - temporary help services,manual
2_professional_services,0859 other business services - training,manual
2_professional_services,0859 other business services - transcription services,manual
2_professional_services,0859 other business services - video production,manual
2_professional_services,0859 other business services - writer,manual
2_professional_services,0859 other business services not elsewhere specified,manual
3_information_technology,0915 computer equipment related to production and operations (p&o),manual
5_transportation_and_logistics,1122 gasoline,manual
6_industrial_products_and_services,1142 paper & paperboard,manual
10_office_management,"1143 – printed matter, including books, newspapers, pictures, manuscripts and forms",manual
6_industrial_products_and_services,1151 - uniforms,manual
10_office_management,1172 - stationery and office supplies,manual
10_office_management,1172 office and stationers supplies,manual
10_office_management,1173 house frnishgs excl furnt,manual
6_industrial_products_and_services,1179 - miscellaneous mfg articles,manual
6_industrial_products_and_services,1179 – miscellaneous manufactured articles,manual
6_industrial_products_and_services,1179 misc manufacturd prds,manual
6_industrial_products_and_services,1179 misc manufacturd prds - commemorative items,manual
6_industrial_products_and_services,1179 misc manufacturd prds - lapel pins,manual
6_industrial_products_and_services,1179 misc manufacturd prds - license agreement,manual
6_industrial_products_and_services,1179 misc manufacturd prds - military service medals,manual
6_industrial_products_and_services,"1179 misc manufacturd prds - wreaths, poppies, and ribbons",manual
6_industrial_products_and_services,1179 misc manufactured prds - license agreement,manual
3_information_technology,1221 voice communic equip,manual
3_information_technology,1223 - image/video communications,manual
3_information_technology,"1223 - image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)",manual
3_information_technology,1223 – image/video communications equipment,manual
3_information_technology,1223 image/video communications equipment (incl related parts and peripherals),manual
3_information_technology,1223 image/video equipment,manual
10_office_management,1231 - office furniture & furnishings,manual
10_office_management,1231 - office furniture and furnishings including parts,manual
10_office_management,1231 office equip & parts - office furniture,manual
10_office_management,1231 office furnishg furnit,manual
10_office_management,1231 office furnishg furniture,manual
10_office_management,"1231 office furniture and furnishings, incl. Parts",manual
10_office_management,"1231 office furniture and furnishings, including parts",manual
10_office_management,1239 - other office equipment/parts,manual
10_office_management,1239 other office equipment and parts,manual
10_office_management,1239 otr office equip & parts,manual
10_office_management,1239 otr office equip & parts - headsets,manual
6_industrial_products_and_services,1249 other equipment and parts,manual
5_transportation_and_logistics,1261 - road motor vehicles,manual
5_transportation_and_logistics,1261 road motor vehicles,manual
3_information_technology,1282 - computer equipment - servers,manual
3_information_technology,"1282 - computer equipment related to production and operations (p&o) environment -all servers, storage, printers etc (includes all related parts and peripherals)",manual
3_information_technology,"1282 – computer equipment related to production and operations (p&o) environment - all servers, storage, printers etc.",manual
3_information_technology,1282 comp eq-srvr (partsperi),manual
3_information_technology,1282 comp eq-srvr (partsperi) - briefcases,manual
3_information_technology,1282 comp eq-srvr (partsperi) - docking stations,manual
3_information_technology,1282 comp eq-srvr (partsperi) - laptops,manual
3_information_technology,1282 comp eq-srvr (partsperi) - monitors,manual
3_information_technology,1282 comp eq-srvr (partsperi) - printers,manual
3_information_technology,1282 comp eq-srvr (partsperi) - scanner,manual
3_information_technology,1282 comp eq-srvr (partsperi) - thin clients,manual
3_information_technology,1282 comp eq-srvr (parts peri),manual
3_information_technology,1282 comp eq-srvr (parts?Peri),manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri),manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - audio visual equipment,manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - computers,manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - headsets,manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - laptops,manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - monitors,manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - printer,manual
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - printers,manual
3_information_technology,1282 computer equipment - servers (includes related parts and peripherals),manual
3_information_technology,1283 - computer equipment - client domain,manual
3_information_technology,1283 - computer equipment client domain,manual
3_information_technology,1283 - computer equipment related to distributed computing environment (dce) -desktop/personal/portable (includes all related parts and peripherals),manual
3_information_technology,1283 - workstation information technology equipment,manual
3_information_technology,1283 - workstation it equipment,manual
3_information_technology,1283 – computer equipment related to distributed computing environment (dce) - desktop/personal/portable,manual
3_information_technology,1283 computer equipment - client computing domain-desktop/personal/portable (includes related parts and peripherals),manual
3_information_technology,1283 computer equipment - client computing domain - desktop/personal/portable (includes related parts and peripherals),manual
3_information_technology,1284 - client software,manual
3_information_technology,1284 - client software related to distributed computing environment (dce),manual
3_information_technology,1284 client software,manual
3_information_technology,1285 - application software & development,manual
3_information_technology,1285 - application software (including cots) and application development and delivery software,manual
3_information_technology,1285 - prepaid - application software,manual
3_information_technology,1285 – application software (including cots) and application development and delivery software,manual
3_information_technology,1285 application software (inc cots) and application development and delivery software,manual
3_information_technology,1286 - server operating system,manual
3_information_technology,1287 networking software,manual
3_information_technology,"1289 - communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",manual
3_information_technology,1289 - computer equipment servers over $5000,manual
3_information_technology,1289 - information technology infrastructure equipment,manual
3_information_technology,1289 - it infrastructure equipment >$5000,manual
3_information_technology,1289 acquisition of communications/ networking equipment,manual
3_information_technology,1289 acquisition of communications/networking equipment,manual
3_information_technology,"1289 communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",manual
3_information_technology,1292 - communication/networking equipment,manual
3_information_technology,1293 - application software over $5k,manual
1_facilities_and_construction,1340 office buildings,manual
1_facilities_and_construction,1340 office buildings - card access,manual
2_professional_services,2017-2018 car fleet insurance,manual
3_information_technology,"23"" monitors - 100",manual
3_information_technology,"23"" monitors - 60",manual
0_other,2319 payments to other international organizations,classifier
