economic_object_code,category
1124,5_transportation_and_logistics
1125,5_transportation_and_logistics
1126,5_transportation_and_logistics
1127,5_transportation_and_logistics
1128,6_industrial_products_and_services
1130,6_industrial_products_and_services
1132,4_medical
1133,8_security_and_protection
1134,10_office_management
1139,6_industrial_products_and_services
1141,6_industrial_products_and_services
1142,6_industrial_products_and_services
1143,10_office_management
1148,10_office_management
1151,6_industrial_products_and_services
1152,6_industrial_products_and_services
1153,6_industrial_products_and_services
1159,6_industrial_products_and_services
1160,6_industrial_products_and_services
1161,6_industrial_products_and_services
1163,10_office_management
1164,6_industrial_products_and_services
1171,4_medical
1172,10_office_management
1173,10_office_management
1174,6_industrial_products_and_services
1175,6_industrial_products_and_services
1176,2_professional_services
1179,6_industrial_products_and_services
1210,1_facilities_and_construction
1211,6_industrial_products_and_services
1212,6_industrial_products_and_services
1214,3_information_technology
1216,3_information_technology
1219,3_information_technology
1220,3_information_technology
1221,3_information_technology
1222,3_information_technology
1223,3_information_technology
1224,3_information_technology
1225,3_information_technology
1226,3_information_technology
1227,3_information_technology
1228,3_information_technology
1229,3_information_technology
1230,10_office_management
1231,10_office_management
1232,10_office_management
1233,10_office_management
1234,10_office_management
1235,10_office_management
1236,10_office_management
1239,10_office_management
1241,1_facilities_and_construction
1242,1_facilities_and_construction
1243,6_industrial_products_and_services
1244,11_defence
1245,6_industrial_products_and_services
1246,10_office_management
1249,6_industrial_products_and_services
1250,5_transportation_and_logistics
1251,5_transportation_and_logistics
1253,3_information_technology
1256,5_transportation_and_logistics
1257,5_transportation_and_logistics
1261,5_transportation_and_logistics
1263,5_transportation_and_logistics
1264,5_transportation_and_logistics
1265,1_facilities_and_construction
1267,5_transportation_and_logistics
1271,3_information_technology
1273,8_security_and_protection
1280,3_information_technology
1281,3_information_technology
1282,3_information_technology
1283,3_information_technology
1284,3_information_technology
1285,3_information_technology
1286,3_information_technology
1287,3_information_technology
1288,3_information_technology
1289,3_information_technology
1291,3_information_technology
1295,3_information_technology
1301,1_facilities_and_construction
1310,1_facilities_and_construction
1316,1_facilities_and_construction
1335,1_facilities_and_construction
1339,1_facilities_and_construction
1340,1_facilities_and_construction
1343,1_facilities_and_construction
1350,1_facilities_and_construction
1356,1_facilities_and_construction
1357,1_facilities_and_construction
1358,1_facilities_and_construction
1360,1_facilities_and_construction
1362,1_facilities_and_construction
1363,1_facilities_and_construction
1364,1_facilities_and_construction
1369,1_facilities_and_construction
1370,1_facilities_and_construction
1373,1_facilities_and_construction
2013,3_information_technology
2014,5_transportation_and_logistics
2035,2_professional_services
2302,2_professional_services
2639,3_information_technology
3250,2_professional_services
3452,6_industrial_products_and_services
4527,6_industrial_products_and_services
4529,1_facilities_and_construction
4531,1_facilities_and_construction
4559,1_facilities_and_construction
4561,3_information_technology
4562,10_office_management
4565,4_medical
4566,2_professional_services
4567,5_transportation_and_logistics
4593,2_professional_services
4608,2_professional_services
4619,2_professional_services
4620,2_professional_services
4621,2_professional_services
4623,3_information_technology
4624,2_professional_services
6003,9_human_capital
6012,9_human_capital
6086,9_human_capital
7035,3_information_technology
7870,3_information_technology
8481,6_industrial_products_and_services
8905,10_office_management
8910,10_office_management
8915,10_office_management
8920,10_office_management
8940,10_office_management
8955,10_office_management
8960,10_office_management
8970,10_office_management
9015,10_office_management
