economic_object_code,count,category,category_number,example_description_en
484,,1_facilities_and_construction,1,Building maintenance services
491,34305,2_professional_services,2,Management consulting
492,5849,2_professional_services,2,Research contracts
493,2652,2_professional_services,2,Interpretation services
494,7366,2_professional_services,2,Translation services
495,895,2_professional_services,2,Assessment of potentially contaminated sites
496,710,1_facilities_and_construction,1,Services related to the remediation of contaminated sites
497,144,1_facilities_and_construction,1,Services related to the care and maintenance of contaminated sites
498,45,1_facilities_and_construction,1,Services related to the monitoring of previously contaminated sites
499,34210,2_professional_services,2,Other professional services not elsewhere specified
500,7,5_transportation_and_logistics,5,"Truck, light, personnel carrier,"
501,77,1_facilities_and_construction,1,Rental of land
502,,1_facilities_and_construction,1,Rental of Meeting Room and Office Space
504,,1_facilities_and_construction,1,Storage of furniture
507,,1_facilities_and_construction,1,ELECT + ELECTRONIC SUPPLIES
510,763,1_facilities_and_construction,1,Rental of residential buildings
511,659,1_facilities_and_construction,1,Rental of office buildings
512,188,1_facilities_and_construction,1,Rental of industrial and commercial buildings
513,68,1_facilities_and_construction,1,Rental of institutional buildings
514,722,1_facilities_and_construction,1,Rental of other buildings
520,12,3_information_technology,3,Renewal of annual licenses/maintenance for software - client software
521,12,3_information_technology,3,Renewal of annual licenses/maintenance for software - application software (including cots) and application development and delivery software
522,388,3_information_technology,3,"Rental of image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and periphera"
524,211,3_information_technology,3,Rental or license/maintenance fees for application software and application development and delivery software except security software
525,34,3_information_technology,3,Rental of computer equipment
533,11766,10_office_management,10,"Rental of machinery, office furniture and fixtures"
540,2192,5_transportation_and_logistics,5,Rental of motor and other vehicles
553,,10_office_management,10,"0553 - RENTAL OF MACHINERY, OFFOCE FURNITURE AND FIXTURES AND OTHER EQUIPMENT"
555,15,1_facilities_and_construction,1,Capital lease-tangible capital assets
561,7890,5_transportation_and_logistics,5,Rental of aircraft
566,709,5_transportation_and_logistics,5,Rental of ships
570,1807,10_office_management,10,Rental-other
579,,3_information_technology,3,0579 - Cloud Services
580,,3_information_technology,3,Rental of Analog Communications / Networking Equipment
581,,3_information_technology,3,License/Maintenance fees for client software related to Distributed Computing Environment (DCE)
582,5527,3_information_technology,3,License/maintenance fees for client software related to distributed computing environment (dce)
583,5863,3_information_technology,3,License/maintenance fees for application software (including cots) and application development and delivery software
584,1625,3_information_technology,3,"License/maintenance fees for operating system and utility software related to servers, storage, peripherals and components"
585,873,3_information_technology,3,License/maintenance fees for networking software
586,59,3_information_technology,3,License/maintenance fees for it security software
587,179,3_information_technology,3,"Rental of computer equipment related to production and operations (p&o) environment - all servers, storage, printers, etc. (includes all related parts and peripherals)"
588,1088,3_information_technology,3,Rental of computer equipment related to distributed computing environment (dce)-desktop/personal/portable (includes all related parts and peripherals)
589,177,3_information_technology,3,"Rental of communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
590,74,3_information_technology,3,License/maintenance fees for image/video communications software (includes telepresence/video conferencing software)
600,17,1_facilities_and_construction,1,High voltage distribution system (above
601,7823,5_transportation_and_logistics,5,Marine installations
607,1397,1_facilities_and_construction,1,"Highways, roads and streets"
608,89,1_facilities_and_construction,1,"Runways, landing fields and tarmac"
