owner_org,d_fiscal_year,total,total_constant_2019_dollars
ic,2018-2019,6652605.01,6735679.02
ic,2019-2020,3484334.30,3445749.21
ic,2020-2021,2266977.82,2150034.00
ic,2021-2022,3617269.23,3332199.72
iic-iac,2021-2022,1065444.74,977260.73
ijc-cmi,2017-2018,47046.13,48173.52
ijc-cmi,2018-2019,153924.27,155844.68
infc,2017-2018,1024419.67,1051533.44
infc,2018-2019,179060.89,181811.53
infc,2019-2020,569793.81,562267.07
infc,2020-2021,903235.72,858955.32
infc,2021-2022,911611.55,846065.18
irb-cisr,2017-2018,84298.19,86482.63
irb-cisr,2018-2019,96239.21,97690.46
irb-cisr,2019-2020,2789563.80,2755707.34
irb-cisr,2020-2021,1044199.37,993330.23
irb-cisr,2021-2022,879366.96,815332.05
isc-sac,2017-2018,193549.66,198373.90
isc-sac,2018-2019,1011271.33,1023310.74
isc-sac,2019-2020,1772657.49,1738783.75
isc-sac,2020-2021,2344232.82,2224345.76
isc-sac,2021-2022,2241155.65,2074817.25
jus,2017-2018,5799187.08,5948628.63
jus,2018-2019,7016573.35,7119039.21
jus,2019-2020,7894462.70,7825114.68
jus,2020-2021,6102235.64,5800245.26
jus,2021-2022,4572679.01,4241065.93
lac-bac,2017-2018,363270.00,372205.08
lac-bac,2018-2019,368426.82,373646.85
lac-bac,2019-2020,381200.05,378444.12
lac-bac,2020-2021,200366.13,190501.47
lac-bac,2021-2022,265266.71,244398.73
mgerc-ceegm,2017-2018,37155.67,38031.51
mgerc-ceegm,2018-2019,49692.83,50224.76
mgerc-ceegm,2019-2020,7900.87,7831.41
mgerc-ceegm,2020-2021,33912.61,32364.64
mgerc-ceegm,2021-2022,17485.44,15987.32
mpcc-cppm,2017-2018,5886.38,6038.92
mpcc-cppm,2018-2019,5886.38,5977.92
mpcc-cppm,2019-2020,5902.51,5852.70
mpcc-cppm,2020-2021,5886.38,5596.01
mpcc-cppm,2021-2022,2806.11,2643.88
nbc-ccbn,2017-2018,38356.44,39269.38
nbc-ccbn,2018-2019,252857.56,257367.50
nbc-ccbn,2019-2020,23714.00,23444.05
nbc-ccbn,2021-2022,302557.37,276471.85
nfb-onf,2017-2018,616744.64,633671.80
nfb-onf,2018-2019,197090.10,199984.21
nfb-onf,2019-2020,1340735.16,1336942.76
nfb-onf,2020-2021,569623.40,541398.87
nfb-onf,2021-2022,157058.05,144175.41
nrc-cnrc,2017-2018,19172314.95,19647706.73
nrc-cnrc,2018-2019,11365745.68,11492408.25
nrc-cnrc,2019-2020,17759376.70,17442646.12
nrc-cnrc,2020-2021,10763197.23,10268747.63
nrc-cnrc,2021-2022,11933183.53,10996747.40
nrcan-rncan,2017-2018,5089877.26,5217765.49
nrcan-rncan,2018-2019,3570626.88,3616264.78
nrcan-rncan,2019-2020,2235229.31,2204760.58
nrcan-rncan,2020-2021,1333773.66,1264872.35
nrcan-rncan,2021-2022,1464797.43,1341010.71
nserc-crsng,2017-2018,78968.11,81044.49
nserc-crsng,2018-2019,480580.46,486680.25
nserc-crsng,2019-2020,830388.17,814570.17
nserc-crsng,2020-2021,273658.87,260403.68
nserc-crsng,2021-2022,168257.67,156504.92
nsira-ossnr,2019-2020,60265.40,59294.51
nsira-ossnr,2020-2021,48774.98,46736.85
nsira-ossnr,2021-2022,47619.90,44557.38
oag-bvg,2017-2018,259489.16,266232.11
oag-bvg,2018-2019,662007.06,670300.54
oag-bvg,2019-2020,1127618.14,1106847.91
oag-bvg,2020-2021,286448.10,271623.89
oag-bvg,2021-2022,377799.61,353080.95
oci-bec,2017-2018,27873.71,28569.60
oci-bec,2019-2020,24777.56,24177.93
oci-bec,2020-2021,26161.05,24826.37
oci-bec,2021-2022,26343.69,24573.74
ocl-cal,2018-2019,16781.46,16946.57
ocol-clo,2017-2018,77633.72,79554.03
ocol-clo,2018-2019,62626.06,63274.85
ocol-clo,2019-2020,180116.19,177842.68
ocol-clo,2020-2021,108981.90,103126.06
ocol-clo,2021-2022,245542.62,228096.91
oic-ci,2017-2018,164068.91,167936.35
oic-ci,2018-2019,52612.49,53130.14
oic-ci,2019-2020,38581.91,37686.82
oic-ci,2020-2021,70006.92,66082.96
oic-ci,2021-2022,18026.72,16736.82
opc-cpvp,2017-2018,175291.36,179605.44
opc-cpvp,2018-2019,248846.18,252987.50
opc-cpvp,2019-2020,143490.95,141561.96
opc-cpvp,2020-2021,189743.91,180020.70
opc-cpvp,2021-2022,252861.68,233021.87
osfi-bsif,2017-2018,850600.29,871316.05
osfi-bsif,2018-2019,774386.39,785467.98
osfi-bsif,2019-2020,1670973.85,1658235.17
osfi-bsif,2020-2021,182776.98,172508.17
osfi-bsif,2021-2022,452487.03,412625.60
osgg-bsgg,2017-2018,161779.39,165971.63
osgg-bsgg,2018-2019,195149.86,197877.93
osgg-bsgg,2019-2020,459618.87,455933.78
osgg-bsgg,2020-2021,114852.50,109353.48
osgg-bsgg,2021-2022,104297.35,96510.71
pbc-clcc,2017-2018,169309.73,173544.84
pbc-clcc,2018-2019,379555.22,384493.44
pbc-clcc,2019-2020,540198.43,536500.29
pbc-clcc,2020-2021,294247.03,279592.45
pbc-clcc,2021-2022,276240.93,255116.55
pc,2017-2018,14676859.10,15061902.05
pc,2018-2019,17517383.46,17788154.98
pc,2019-2020,13077816.08,12957657.10
pc,2020-2021,11391804.54,10828137.76
pc,2021-2022,15071736.46,13933742.15
pch,2017-2018,2871461.37,2944641.16
pch,2018-2019,1514357.45,1537805.30
pch,2019-2020,1791588.86,1770506.87
pch,2020-2021,823258.62,781065.31
pch,2021-2022,808802.33,743254.78
pco-bcp,2017-2018,1226372.45,1257942.97
pco-bcp,2018-2019,2130309.07,2160159.44
pco-bcp,2019-2020,1282984.73,1274042.41
pco-bcp,2020-2021,540605.17,513415.83
pco-bcp,2021-2022,597403.68,553307.20
phac-aspc,2017-2018,352475.25,361127.90
phac-aspc,2018-2019,816347.58,828110.01
phac-aspc,2019-2020,627701.55,619742.41
phac-aspc,2020-2021,4955253.93,4716220.87
phac-aspc,2021-2022,617580.31,571907.40
pmprb-cepmb,2017-2018,29142.70,29911.01
pmprb-cepmb,2019-2020,1231.43,1201.63
pmprb-cepmb,2020-2021,14499.08,13783.84
pmprb-cepmb,2021-2022,14499.08,13461.60
ppsc-sppc,2017-2018,1764702.64,1810857.94
ppsc-sppc,2018-2019,1617368.37,1642153.59
ppsc-sppc,2019-2020,1170762.10,1160249.96
ppsc-sppc,2020-2021,1619100.67,1538372.53
ppsc-sppc,2021-2022,1607010.67,1491707.00
pptc,2017-2018,243564.11,249892.22
pptc,2018-2019,206782.03,209997.79
pptc,2019-2020,88944.60,89061.78
ps-sp,2017-2018,1014864.86,1040027.04
ps-sp,2018-2019,2715770.53,2747825.80
ps-sp,2019-2020,577920.10,571730.97
ps-sp,2020-2021,560561.92,532912.42
ps-sp,2021-2022,1130119.69,1036014.84
psc-cfp,2017-2018,84331.35,86450.92
psc-cfp,2018-2019,100710.98,101961.36
psc-cfp,2019-2020,114500.80,112623.30
psc-cfp,2020-2021,37454.62,35604.05
psc-cfp,2021-2022,21093.54,19830.07
psic-ispc,2019-2020,146694.46,146912.98
psic-ispc,2020-2021,12223.15,11620.19
psic-ispc,2021-2022,12223.15,11348.52
pwgsc-tpsgc,2017-2018,32238411.88,33052664.55
pwgsc-tpsgc,2018-2019,46844268.09,47508403.64
pwgsc-tpsgc,2019-2020,47159237.23,46595443.54
pwgsc-tpsgc,2020-2021,30079269.06,28564629.56
pwgsc-tpsgc,2021-2022,27187436.66,25166195.26
